Ferroco Maschinenhandel       Ing.Rudolf Ferro              Gesellschaft mbH                                            0000Nu·dorfer Platz 8             A 1190  Wien                          000776
Alois Cerva                   Gesellschaft mbH                                                                          0000Krummgasse 3-7                A 1030  Wien                          000515
Comesa Gesellschaft mbH                                                                                                 0000Baldassgasse 5                A 1217  Wien                          005654
Datler Gesellschaft mbH                                                                                                 0000Billrothstra·e 39/3/3         A 1190  Wien                          000559
DEWAF Holzstudio              Ing. Josef Goldnagel                                                                      0000Bahnhofstra·e 13              A 7022  Schattendorf                  005794
Dewakustik Schallisolierungen Gesellschaft mit beschrÑnkter Haftung                                                     0000Braunschweiggasse 17          A 1130  Wien                          000564
Dibl-Druck                    Gesellschaft mbH & Co KG                                                                  0000Wintergasse 52                A 3002  Purkersdorf                   000568
Dipl.Ing.Kurt Dirnbacher      Verwaltungsgesellschaft mbH                                                               0000Westbahnstra·e 8              A 1070  Wien                          000572
Reinhold Dittrich             Gesellschaft mbH                                                                          0000Platzergasse 402              A 3335  Weyer a.d.Enns                000575
Michael Drapal                PflanzensÑfte und DiÑtetische PrÑparate                                                   0000Esteplatz 3                   A 1030  Wien                          000596
Dworak Manfred                Fenster-TÅren-Tore                                                                        0000Seyringer Stra·e 6            A 2243  Matzen                        000653
Horst & Markus Ebert          Pflasterermeister                                                                         0000Hartfeldgasse 3               A 2512  Tribuswinkel                  000660
Andreas Ebhart                Gesellschaft mbH                                                                          0000Neusiedler Stra·e 50          A 2340  Mîdling                       000661
Neworal Ilse                  EBO-Import-Export                                                                         0000Am Tabor 26                   A 1020  Wien                          000663
Ernst Edlinger & Co           Gesellschaft mbH                                                                          0000Schwendergasse 21             A 1150  Wien                          000003
Ing. Sapinski Leopold         Hoch- und Tiefbau                                                                         0000KÑrntner Stra·e 61            A 9900   Lienz                        001320
Seiwald Peter                 SanitÑr,Heizung,Klima                                                                     0000                              A 9620  Hermagor                      002028
WERBUNG SMOLE GmbH                                                                                                      0000Getreidegasse 4               A 9010  Klagenfurt                    001335
ôsterreichische DraukraftwerkeAktiengesellschaft.                                                                       0000Kohldorfer Stra·e 98          A 9020  Klagenfurt                    001716
SPAR ôsterreichische Waren-   handels-Aktiengesellschaft,   Zweigniederlassung Maria Saal.                              0000                              A 9063  Maria Saal                    001340
Springer Maschinenfabrik      Gesellschaft m.b.H.                                                                       0000Hîflerweg 2                   A 9360  Friesach                      001343
Heraklith Baustoff-Vertriebs- gesellschaft m.b.H.                                                                       0031                              A 9586  FÅrnitz                       001711
